school_id,region,division,language,n_test_takers,english_mps,filipino_mps,numeracy_mps,mother_tongue_mps,overall_mps
107002,Region III,Zambales,Tagalog,40,36.0,47.666666666666664,36.0,,40.77272727272727
106912,Region III,Zambales,Tagalog,32,35.55555555555556,47.77777777777778,34.21875,,40.3125
106908,Region III,Zambales,Tagalog,26,36.92307692307693,40.59829059829059,45.38461538461538,,39.96503496503496
107013,Region III,Zambales,Tagalog,39,41.08262108262108,41.93732193732194,31.153846153846153,,39.62703962703963
106915,Region III,Zambales,Tagalog,19,34.61988304093567,40.11695906432749,49.736842105263165,,39.61722488038278
137175,Region III,Zambales,Tagalog,13,36.75213675213676,48.20512820512821,26.538461538461537,,39.58041958041959
106864,Region III,Zambales,Tagalog,108,43.37448559670782,52.818930041152264,1.0648148148148149,,39.54545454545455
106918,Region III,Zambales,Tagalog,69,37.3268921095008,42.06119162640902,37.53623188405797,,39.301712779973656
501607,Region III,Zambales,Tagalog,30,37.03703703703704,45.25925925925926,30.166666666666668,,39.15151515151515
107014,Region III,Zambales,Tagalog,101,38.7018701870187,44.75247524752475,25.04950495049505,,38.6948694869487
106906,Region III,Zambales,Tagalog,23,36.231884057971016,40.57971014492753,38.91304347826087,,38.498023715415016
106914,Region III,Zambales,Tagalog,11,27.67676767676768,45.05050505050505,46.81818181818182,,38.264462809917354
107004,Region III,Zambales,Tagalog,24,36.85185185185185,41.388888888888886,29.583333333333336,,37.38636363636363
106910,Region III,Zambales,Tagalog,72,34.19753086419753,40.64814814814815,35.208333333333336,,37.02020202020202
106913,Region III,Zambales,Tagalog,19,33.333333333333336,41.52046783625732,34.21052631578947,,36.8421052631579
106902,Region III,Zambales,Tagalog,42,35.18518518518519,40.68783068783069,30.59523809523809,,36.6017316017316
106909,Region III,Zambales,Tagalog,14,31.428571428571427,41.111111111111114,36.42857142857143,,36.2987012987013
106865,Region III,Zambales,Tagalog,37,41.50150150150151,45.88588588588589,0.2702702702702703,,35.7985257985258
160505,Region III,Zambales,Tagalog,46,33.91304347826087,37.68115942028985,34.02173913043478,,35.47430830039526
106917,Region III,Zambales,Tagalog,33,31.515151515151516,39.39393939393939,29.090909090909093,,34.29752066115702
500509,Region III,Zambales,Tagalog,23,30.724637681159415,39.806763285024154,25.0,,33.39920948616601
106903,Region III,Zambales,Tagalog,16,31.805555555555557,37.22222222222222,27.5,,33.23863636363637
106905,Region III,Zambales,Tagalog,123,29.539295392953928,35.158084914182474,29.26829268292683,,31.788617886178866
160516,Region III,Zambales,Tagalog,44,30.05050505050505,36.26262626262626,23.522727272727273,,31.40495867768595
